seuNumero,tipoOpFinanceira
10946,04 - Via Compensação
10956,04 - Via Compensação
10970,04 - Via Compensação
10982,04 - Via Compensação
10986,04 - Via Compensação
10988,04 - Via Compensação
10997,04 - Via Compensação
11004,04 - Via Compensação
11005,04 - Via Compensação
11015,04 - Via Compensação
11018,04 - Via Compensação
11020,04 - Via Compensação
11034,04 - Via Compensação
11037,04 - Via Compensação
11046,04 - Via Compensação
11055,04 - Via Compensação
11061,04 - Via Compensação
11063,06 - Via Retaguarda
11067,06 - Via Retaguarda
11066,07 - Via Pix
11083,07 - Via Pix
11085,07 - Via Pix
11088,07 - Via Pix
11095,07 - Via Pix
11098,04 - Via Compensação
11100,04 - Via Compensação
11109,04 - Via Compensação
11118,04 - Via Compensação
11121,04 - Via Compensação
11122,04 - Via Compensação
11124,04 - Via Compensação
11129,04 - Via Compensação
11138,04 - Via Compensação
11161,07 - Via Pix
11167,04 - Via Compensação
11171,07 - Via Pix
11173,04 - Via Compensação
11176,04 - Via Compensação
11178,04 - Via Compensação
11189,04 - Via Compensação
11192,04 - Via Compensação
11197,04 - Via Compensação
11210,04 - Via Compensação
11212,04 - Via Compensação
11216,04 - Via Compensação
11228,04 - Via Compensação
11234,04 - Via Compensação
11239,04 - Via Compensação
11244,04 - Via Compensação
11251,04 - Via Compensação
11254,04 - Via Compensação
11262,04 - Via Compensação
11264,04 - Via Compensação
11269,04 - Via Compensação
11206,04 - Via Compensação
11277,07 - Via Pix
11289,04 - Via Compensação
11290,04 - Via Compensação
11297,04 - Via Compensação
11299,07 - Via Pix
11306,04 - Via Compensação
11310,04 - Via Compensação
11313,04 - Via Compensação
11316,04 - Via Compensação
11323,06 - Via Retaguarda
11326,04 - Via Compensação
11341,07 - Via Pix
11343,04 - Via Compensação
11359,04 - Via Compensação
11366,04 - Via Compensação
11373,04 - Via Compensação
11385,04 - Via Compensação
11405,04 - Via Compensação
11412,04 - Via Compensação
11424,04 - Via Compensação
11427,04 - Via Compensação
11429,04 - Via Compensação
11439,04 - Via Compensação
11442,04 - Via Compensação
11450,07 - Via Pix
11452,04 - Via Compensação
11453,04 - Via Compensação
11460,04 - Via Compensação
11470,04 - Via Compensação
11474,04 - Via Compensação
11477,04 - Via Compensação
11487,04 - Via Compensação
11493,07 - Via Pix
11496,04 - Via Compensação
11501,04 - Via Compensação
11512,04 - Via Compensação
11521,04 - Via Compensação
11344,04 - Via Compensação
11525,07 - Via Pix
11540,07 - Via Pix
11542,07 - Via Pix
11554,04 - Via Compensação
11559,04 - Via Compensação
11560,04 - Via Compensação
11570,04 - Via Compensação
11573,04 - Via Compensação
11576,04 - Via Compensação
11577,04 - Via Compensação
11582,04 - Via Compensação
11594,04 - Via Compensação
11622,04 - Via Compensação
11596,04 - Via Compensação
11630,04 - Via Compensação
11638,04 - Via Compensação
11649,04 - Via Compensação
11662,04 - Via Compensação
11670,04 - Via Compensação
11683,04 - Via Compensação
11543,04 - Via Compensação
11700,04 - Via Compensação
11707,04 - Via Compensação
11710,07 - Via Pix
11720,04 - Via Compensação
11729,04 - Via Compensação
11732,04 - Via Compensação
11740,04 - Via Compensação
11743,04 - Via Compensação
11749,04 - Via Compensação
11752,04 - Via Compensação
11754,04 - Via Compensação
11760,04 - Via Compensação
11762,04 - Via Compensação
11771,07 - Via Pix
11780,07 - Via Pix
11785,04 - Via Compensação
11794,07 - Via Pix
11797,04 - Via Compensação
11799,04 - Via Compensação
11800,04 - Via Compensação
11807,07 - Via Pix
11810,04 - Via Compensação
11818,04 - Via Compensação
11821,04 - Via Compensação
11827,04 - Via Compensação
11829,04 - Via Compensação
11835,07 - Via Pix
11842,04 - Via Compensação
11860,04 - Via Compensação
11864,04 - Via Compensação
11879,04 - Via Compensação
11886,07 - Via Pix
11890,07 - Via Pix
11898,04 - Via Compensação
11901,07 - Via Pix
11905,04 - Via Compensação
11914,04 - Via Compensação
11922,04 - Via Compensação
11924,04 - Via Compensação
11934,04 - Via Compensação
11938,04 - Via Compensação
11941,07 - Via Pix
11945,04 - Via Compensação
11951,04 - Via Compensação
11957,04 - Via Compensação
11963,04 - Via Compensação
11968,04 - Via Compensação
11971,04 - Via Compensação
11977,04 - Via Compensação
11987,07 - Via Pix
11988,07 - Via Pix
11991,04 - Via Compensação
11996,04 - Via Compensação
12004,04 - Via Compensação
12007,04 - Via Compensação
12013,04 - Via Compensação
12021,07 - Via Pix
12024,04 - Via Compensação
12034,04 - Via Compensação
12043,04 - Via Compensação
12048,04 - Via Compensação
12051,07 - Via Pix
12065,04 - Via Compensação
12068,04 - Via Compensação
12071,04 - Via Compensação
12074,04 - Via Compensação
12100,04 - Via Compensação
12104,04 - Via Compensação
12130,07 - Via Pix
12132,04 - Via Compensação
12144,04 - Via Compensação
12146,04 - Via Compensação
12151,07 - Via Pix
12156,04 - Via Compensação
12162,04 - Via Compensação
12175,07 - Via Pix
12184,04 - Via Compensação
12194,07 - Via Pix
12204,04 - Via Compensação
12214,04 - Via Compensação
12219,07 - Via Pix
12230,07 - Via Pix
12235,04 - Via Compensação
12238,07 - Via Pix
12240,04 - Via Compensação
12255,04 - Via Compensação
12270,04 - Via Compensação
12273,04 - Via Compensação
12284,04 - Via Compensação
12287,04 - Via Compensação
12293,04 - Via Compensação
12295,07 - Via Pix
12322,04 - Via Compensação
12340,04 - Via Compensação
12368,07 - Via Pix
12395,04 - Via Compensação
12409,04 - Via Compensação
12411,04 - Via Compensação
12422,04 - Via Compensação
12423,07 - Via Pix
12442,04 - Via Compensação
12446,04 - Via Compensação
12459,04 - Via Compensação
12497,07 - Via Pix
12507,04 - Via Compensação
12511,04 - Via Compensação
12525,04 - Via Compensação
12528,04 - Via Compensação
12553,04 - Via Compensação
12560,07 - Via Pix
12566,07 - Via Pix
12571,04 - Via Compensação
12574,04 - Via Compensação
12577,04 - Via Compensação
12582,04 - Via Compensação
1007585,07 - Via Pix
12599,04 - Via Compensação
12614,04 - Via Compensação
12625,04 - Via Compensação
12643,07 - Via Pix
12655,04 - Via Compensação
12665,04 - Via Compensação
12678,04 - Via Compensação
12685,04 - Via Compensação
12687,04 - Via Compensação
12689,04 - Via Compensação
12694,07 - Via Pix
12700,04 - Via Compensação
12703,04 - Via Compensação
12714,04 - Via Compensação
12728,04 - Via Compensação
12730,07 - Via Pix
12741,04 - Via Compensação
12746,04 - Via Compensação
12752,04 - Via Compensação
12766,04 - Via Compensação
12781,07 - Via Pix
12783,04 - Via Compensação
12785,04 - Via Compensação
12806,04 - Via Compensação
12811,04 - Via Compensação
12835,04 - Via Compensação
12842,04 - Via Compensação
12850,04 - Via Compensação
12859,04 - Via Compensação
12867,04 - Via Compensação
12868,07 - Via Pix
12871,04 - Via Compensação
12872,07 - Via Pix
12877,04 - Via Compensação
12884,04 - Via Compensação
12896,04 - Via Compensação
12898,04 - Via Compensação
12910,04 - Via Compensação
12913,04 - Via Compensação
12920,04 - Via Compensação
12945,04 - Via Compensação
12951,04 - Via Compensação
12958,04 - Via Compensação
12967,04 - Via Compensação
12986,06 - Via Retaguarda
12991,04 - Via Compensação
12993,07 - Via Pix
13004,07 - Via Pix
13012,04 - Via Compensação
13021,07 - Via Pix
13027,04 - Via Compensação
13033,04 - Via Compensação
13048,04 - Via Compensação
13055,04 - Via Compensação
13064,04 - Via Compensação
13092,04 - Via Compensação
13095,04 - Via Compensação
13131,04 - Via Compensação
13134,04 - Via Compensação
13143,04 - Via Compensação
13152,04 - Via Compensação
13157,04 - Via Compensação
13162,04 - Via Compensação
13183,04 - Via Compensação
13186,07 - Via Pix
13200,07 - Via Pix
13203,07 - Via Pix
13212,04 - Via Compensação
13214,07 - Via Pix
13216,04 - Via Compensação
13220,04 - Via Compensação
13230,04 - Via Compensação
13233,06 - Via Retaguarda
13242,04 - Via Compensação
13261,04 - Via Compensação
13274,04 - Via Compensação
13277,07 - Via Pix
13299,04 - Via Compensação
13306,04 - Via Compensação
13314,04 - Via Compensação
13339,07 - Via Pix
13346,04 - Via Compensação
13672,04 - Via Compensação
13679,04 - Via Compensação
13680,04 - Via Compensação
13691,04 - Via Compensação
13694,04 - Via Compensação
13703,04 - Via Compensação
13721,04 - Via Compensação
13724,04 - Via Compensação
13727,04 - Via Compensação
13730,04 - Via Compensação
13733,04 - Via Compensação
13742,04 - Via Compensação
13751,07 - Via Pix
13759,07 - Via Pix
13770,04 - Via Compensação
13801,07 - Via Pix
13818,07 - Via Pix
10623,04 - Via Compensação
13834,07 - Via Pix
13855,04 - Via Compensação
13882,07 - Via Pix
13900,07 - Via Pix
13916,07 - Via Pix
13925,07 - Via Pix
13951,04 - Via Compensação
13966,07 - Via Pix
13969,07 - Via Pix
13976,04 - Via Compensação
13997,04 - Via Compensação
14003,04 - Via Compensação
14050,04 - Via Compensação
14068,07 - Via Pix
11902,04 - Via Compensação
11907,04 - Via Compensação
11910,04 - Via Compensação
11920,04 - Via Compensação
11923,04 - Via Compensação
11912,04 - Via Compensação
11928,04 - Via Compensação
11931,04 - Via Compensação
11935,07 - Via Pix
11956,07 - Via Pix
11959,04 - Via Compensação
11962,04 - Via Compensação
11976,04 - Via Compensação
11982,04 - Via Compensação
11984,07 - Via Pix
11990,04 - Via Compensação
11993,06 - Via Retaguarda
11995,07 - Via Pix
11998,07 - Via Pix
12006,06 - Via Retaguarda
12009,04 - Via Compensação
12015,07 - Via Pix
12019,04 - Via Compensação
12032,04 - Via Compensação
12029,04 - Via Compensação
12047,07 - Via Pix
12050,04 - Via Compensação
12053,07 - Via Pix
12056,04 - Via Compensação
12059,07 - Via Pix
12070,04 - Via Compensação
12077,04 - Via Compensação
12079,04 - Via Compensação
12090,04 - Via Compensação
12093,04 - Via Compensação
12097,04 - Via Compensação
12102,04 - Via Compensação
12110,04 - Via Compensação
12124,04 - Via Compensação
12134,04 - Via Compensação
12137,07 - Via Pix
12149,04 - Via Compensação
12161,04 - Via Compensação
12180,07 - Via Pix
12197,04 - Via Compensação
12199,04 - Via Compensação
12202,04 - Via Compensação
12207,04 - Via Compensação
12217,04 - Via Compensação
12218,04 - Via Compensação
12221,04 - Via Compensação
12224,04 - Via Compensação
12234,04 - Via Compensação
12244,04 - Via Compensação
12254,04 - Via Compensação
12262,04 - Via Compensação
1007558,04 - Via Compensação
12275,04 - Via Compensação
12281,04 - Via Compensação
12303,07 - Via Pix
12306,04 - Via Compensação
12325,04 - Via Compensação
12335,04 - Via Compensação
12341,04 - Via Compensação
12343,04 - Via Compensação
12361,04 - Via Compensação
12369,04 - Via Compensação
12370,06 - Via Retaguarda
12380,04 - Via Compensação
12385,04 - Via Compensação
12387,04 - Via Compensação
12397,04 - Via Compensação
12400,04 - Via Compensação
12404,04 - Via Compensação
12413,04 - Via Compensação
12420,04 - Via Compensação
12426,04 - Via Compensação
12432,04 - Via Compensação
12450,04 - Via Compensação
12461,04 - Via Compensação
12463,04 - Via Compensação
12466,07 - Via Pix
12468,07 - Via Pix
12477,07 - Via Pix
12479,07 - Via Pix
12482,04 - Via Compensação
12502,04 - Via Compensação
12513,04 - Via Compensação
12516,04 - Via Compensação
12533,04 - Via Compensação
12535,07 - Via Pix
12542,04 - Via Compensação
12545,04 - Via Compensação
12559,04 - Via Compensação
12565,04 - Via Compensação
12588,04 - Via Compensação
12600,04 - Via Compensação
12601,07 - Via Pix
12608,04 - Via Compensação
12613,04 - Via Compensação
12619,04 - Via Compensação
12622,04 - Via Compensação
12632,04 - Via Compensação
12637,04 - Via Compensação
12644,04 - Via Compensação
12645,04 - Via Compensação
12651,07 - Via Pix
12653,04 - Via Compensação
1007594,04 - Via Compensação
12657,04 - Via Compensação
12667,07 - Via Pix
12670,04 - Via Compensação
12686,04 - Via Compensação
12692,04 - Via Compensação
12704,07 - Via Pix
12722,04 - Via Compensação
12726,04 - Via Compensação
12734,04 - Via Compensação
12750,07 - Via Pix
12761,07 - Via Pix
12763,04 - Via Compensação
12777,04 - Via Compensação
12790,04 - Via Compensação
12793,04 - Via Compensação
12796,07 - Via Pix
12812,04 - Via Compensação
12823,07 - Via Pix
12826,04 - Via Compensação
12824,07 - Via Pix
12841,04 - Via Compensação
12844,04 - Via Compensação
12847,07 - Via Pix
12861,04 - Via Compensação
12864,04 - Via Compensação
